Listing Title,Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbrevation,Listing Region,Listing Region Abbrevation,Listing State,Listing State Abbrevation,Listing City,Listing City Abbrevation,Listing Neighborhood,Listing Neighborhood Abbrevation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Data,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Email,Account Contact URL
Eliza Restaurant & Bar,Eliza Restaurant & Bar Baton Rouge,hello@elizabatonrouge.com,http://elizabatonrouge.com/,7970 Jefferson Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 349-8895,"Scratch kitchen focused on using local, seasonal products.","We are a scratch kitchen focused on using local, seasonal products. As such, our menu changes often and there may be limited availability with certain dishes. Please consult the most current menu before visiting. Thank you.",,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,Restaurants->Seafood,Restaurants->Southern,,,New Listing Template,,,,,,,,,,,,,,,,
Keilas Bar & Lounge,Keilas Bar & Lounge Baton Rouge,,https://www.facebook.com/p/Keilas-Bar-and-Lounge-100054617162758/,1533 N Acadian Thruway W,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,,Total Adult Atmosphere,"This Facebook page promotes Keila's Bar and Lounge, highlighting daily specials, events like Tacos & Tequila Tuesdays, Early Happy Hour, Blue Mondays, and themed parties. The bar is located at 5035 Plank Rd, Baton Rouge, LA.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Old New Orleans Bar & Grill,Old New Orleans Bar & Grill Baton Rouge,,,648 Lobdell Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 926-5044,,,,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Premier Sound Services of Louisiana,Premier Sound Services of Louisiana Baton Rouge,,https://pssdj.com/,3348 Drusilla Ln,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 769-3529,"Professional DJ Entertainment in Baton Rouge, LA offering Wedding Reception, Ceremony Systems, Photobooths, Monogram and Uplighting.","PSSDJ offers DJs for any occasion, including weddings, corporate events, galas, fashion shows, fundraisers, and family/company picnics. They provide great music with custom playlists and online planning tools. They also offer photobooths, decorative uplights and monogram projection.",,,12/31/2050,Active,Silver,Event Planning & Services->DJs,Event Planning & Services->Photo Booth Rentals,Nightlife->Karaoke,,,New Listing Template,,,,,,,,,,,,,,,,
The Lost Cove,The Lost Cove Baton Rouge,Derek@DiversifiedServicesLLC.com,thelostcove.com,5625 Essen Ln,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,(225) 239-7970,The Lost Cove is a full hook up RV park on Smith Lake. We offer boat slip rental and storage as well.,The Lost Cove is a full hook up RV park on Smith Lake. They offer boat slip rental and storage.,,,12/31/2050,Active,Silver,Nightlife->Bars->Beer Bar,Nightlife->Bars->Cocktail Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
MID TAP,MID TAP Baton Rouge,,,660 Arlington Creek Centre Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(225) 663-6800,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Beer Bar,Nightlife->Bars->Cocktail Bars,Restaurants->Chicken Wings,,,New Listing Template,,,,,,,,,,,,,,,,
Chengs Restaurant & Bar,Chengs Restaurant & Bar Baton Rouge,,https://chengsrestaurant.net/,7951 One Calais Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 663-6478,"Cheng's Restaurant & Bar offers authentic Chinese food in Baton Rouge, with fresh, cook-to-order dishes.","Cheng's Restaurant and Bar is located at 7951 One Calais Ave #3403, Baton Rouge, LA 70809. They specialize in Hunan & Sichuan cuisine made with locally sourced and quality ingredients. They have over 300 5-star reviews on Google and Yelp and offer over 100 authentic Chinese menu items.",,,12/31/2050,Active,Silver,Restaurants->Sushi Bars,Nightlife->Bars,Restaurants->Chinese,,,New Listing Template,,,,,,,,,,,,,,,,
Big Mike's Sports Bar & Grill,Big Mike's Sports Bar & Grill Denham Springs,bigmikesds123@gmail.com,https://bigmikessportsbarandgrill.com/,123 Aspen Sq,,United States,US,,,Louisiana,LA,Denham Springs,,,,70726,,,(225) 243-5258,"Known for tasty burgers, signature sandwiches, steaks, catfish, and shrimp.","Big Mikeâs is located near l-12 just off Range in the bustling heart of Denham Springs. Stop in for lunch or dinner, or just to enjoy a drink with friends.",,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars->Sports Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Bald Eagle Pub,Bald Eagle Pub Baton Rouge,baldeaglepma@baldeaglepub.com,https://www.facebook.com/BaldEaglePub/,140 Main St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(225) 366-9782,"Best Happy Hour in Town, Great Nightly Specials. Politically Themed Pub. A Local Favorite with a Loc","Best Happy Hour in Town, Great Nightly Specials. Politically Themed Pub. A Local Favorite with a Loc",,,12/31/2050,Active,Silver,Nightlife->Bars->Pubs,Nightlife->Bars->Lounges,,,,New Listing Template,,,,,,,,,,,,,,,,
Stogies Cocktail & Cigar Lounge,Stogies Cocktail & Cigar Lounge Denham Springs,,https://www.stogies-lounge.com/,30614 La Hwy16,,United States,US,,,Louisiana,LA,Denham Springs,,,,70726,,,(225) 271-4377,"Cocktails, Cigars & Daiquiris. Stogies is a laid back lounge, where you can enjoy a daiquiri, cocktail, cigar or pipe. We have a drive through window so you can get your daiquiris on the go.","Stogies is a laid back lounge, where you can enjoy a daiquiri, cocktail, cigar or pipe. We have a drive through window so you can get your daiquiris on the go.

We know life gets busy. Our lounge is a relaxing place to take a load off. We have a huge selection of cigars and pipes, aromatic pipe tobaccos and pipe accessories.

Our friendly staff is here to serve you.",,,12/31/2050,Active,Silver,Nightlife->Bars->Cigar Bars,Nightlife->Bars->Cocktail Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
The Gregory,The Gregory Baton Rouge,info@thegregorybr.com,https://www.thegregorybr.com/,150 Third St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 408-1800,Gourmet Dining in Downtown Baton Rouge. The Gregory at Watermark hotel is Baton Rougeâs choice for a modern spin on classic Louisiana soul food.,"The Gregory at Watermark hotel is Baton Rougeâs choice for a modern spin on classic Louisiana soul food. Our chefs create one-of-a-kind dishes influenced by Southern cooking styles. To enjoy dining in our upscale atmosphere, reserve a table or book a private event today!

Unlike Any Other

What sets the best restaurants in Baton Rouge apart from the rest? In some cases, it is a well-established chef, ambiance, or other factors. In almost all cases, however, the best restaurants in downtown Baton Rouge have one thing in common â exceptional food.

Our culinary team designs The Gregoryâs menus around the flavors of Baton Rouge, Louisiana. We utilize fresh, local produce and organic ingredients that offer inspired twists on classic dishes and drinks.",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->New American,,,,New Listing Template,,,,,,,,,,,,,,,,
Green Rabbit Tavern,Green Rabbit Tavern Baton Rouge,,https://greenrabbittavern.com/,4612 Bennington Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 256-0924,"Baton Rouge's Okayest Bar with Beer, Pool Tables, and Privare Karaoke Rooms","At Green Rabbit Tavern, we pride ourselves on offering a unique atmosphere where friends gather, and memories are made. Our friendly staff is dedicated to providing excellent service, making you feel right at home. Whether you're here for a casual night out or a special celebration, Green Rabbit Tavern is the perfect destination. With pool tables, dart boards, fooseball, private karaoke rooms, and great drinks, The Green Rabbit is the best dive bar in Baton Rouge.",,,12/31/2050,Active,Silver,Nightlife->Pool Halls,Nightlife->Bars->Beer Bar,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
The House In Tigerland,The House In Tigerland Baton Rouge,,https://www.yelp.com/biz/the-house-in-tigerland-baton-rouge,1003 Bob Petit Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(225) 389-6162,"The House In Tigerland is a sports bar located in Baton Rouge, LA. It has a ""fresh"" inviting vibe. The owners are taking pride in their bar. It is clean and well taken care of. The house is also one of the few bars in tiger land that now serves food. The pizza was incredible! Tiger land has a reputation as a college bar area, but the house succeeded in keeping that atmosphere with a little bit of sophistication. Highly recommend this bar for all.","This place is like no other. In addition to great drink specials and fast and friendly customer service, The House also offers 0.50$ wing nights on Tuesdays. These are not to be missed. They offer 5 different sauce options and have recently added cheese fries and mozzarella sticks... both tasty and delicious. If you're looking for a good time be sure to Take It to The House.",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Blend,Blend Baton Rouge,scott@blendbr.com,https://www.blendbr.com/,304 Laurel St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 757-5645,"Blend Wine Bar offers wines, tastes and remedies.","Blend Wine Bar is located in Baton Rouge, LA. It offers wines, tastes and remedies.",,,12/31/2050,Active,Silver,Nightlife->Bars->Wine Bars,Event Planning & Services->Venues & Event Spaces,,,,New Listing Template,,,,,,,,,,,,,,,,
Paint Remix,Paint Remix Baton Rouge,sales@paintremixllc.com,https://www.facebook.com/paintremix/,9131 Cortana Pl,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70815,,,(504) 906-9898,"Paint meets music in a fun, creative environment.","Where paint meets music remixed with a smile, fun-filled creativity, diversity rocking New Orleans Style",,,12/31/2050,Active,Silver,Arts & Entertainment->Paint & Sip,Nightlife->Karaoke,Event Planning & Services->Venues & Event Spaces,,,New Listing Template,,,,,,,,,,,,,,,,
Cedarcrest Bar,Cedarcrest Bar Baton Rouge,,http://www.cedarcrestbarbyprovo.com/,10467 Airline Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 290-1250,Welcome to the home of diversity! We give you the experience of an eclectic and comfortable environment.,,,,12/31/2050,Active,Silver,Nightlife->Bars->Gay Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
IceHouse Tap Room,IceHouse Tap Room Baton Rouge,,https://icehouse-tap-room.wheree.com/,14111 Airline Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70817,,,,"IceHouse Tap Room is a vibrant neighborhood bar in Baton Rouge known for delicious food, refreshing drinks, and a lively atmosphere, featuring live music and community events.","Nestled in the heart of Baton Rouge, IceHouse Tap Room stands out as a vibrant neighborhood bar that perfectly combines delicious food, refreshing drinks, and an inviting atmosphere. Known for its exceptional boudin sausage tacos and a menu that transcends typical bar fare, this lively establishment serves up flavors that are consistently praised for their quality and taste. With an appealing outdoor space that welcomes everyone, IceHouse Tap Room is designed for fun and relaxation. The venue often features live music that enhances the lively ambiance, making it an ideal spot for gathering with friends or enjoying a laid-back evening. The friendly and attentive staff elevate the experience, ensuring that every visit feels like a special occasion. From engaging bar games to exciting community events, including football watch parties and crawfish boils, IceHouse Tap Room captures the essence of camaraderie and local charm. This is more than just a bar; it's a gathering place where great food, cold beers, and entertainment come",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,Restaurants->American,,,,New Listing Template,,,,,,,,,,,,,,,,
Don Juan Cigar Company,Don Juan Cigar Company Baton Rouge,,http://Www.donjuancigarbar.com/,7539 Corporate Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 302-5956,"Don Juan Cigar Company is a cigar bar in Baton Rouge, LA.","Don Juan Cigar Company is a bar located at 7539 Corporate Blvd Suite 160, Baton Rouge, LA, United States, 70809. They can be contacted by phone at (225) 960-7597. Their website is http://Www.donjuancigarbar.com/.",,,12/31/2050,Active,Silver,Shopping->Tobacco Shops,Nightlife->Bars->Cigar Bars,Nightlife->Bars->Lounges,,,New Listing Template,,,,,,,,,,,,,,,,
Second Story,Second Story Baton Rouge,,https://www.instagram.com/secondstorybar/,214 3rd St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,,No dress code cocktail lounge with balcony and hookah located downtown above @violet.nightclub.br in BR.,"Second Story at 214 is a cocktail bar with no dress code, featuring a balcony and hookah, located downtown above Violet Nightclub in Baton Rouge.",,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,Nightlife->Bars->Lounges,,,,New Listing Template,,,,,,,,,,,,,,,,
Roberto's River Road Restaurant,Roberto's River Road Restaurant Sunshine,robertos1985hwy75@gmail.com,http://robertosrestaurant.net/,1985 Hwy 75,,United States,US,,,Louisiana,LA,Sunshine,,,,70780,,,(225) 642-5999,Serving some of the freshest Cajun & Creole dishes that South LA has to offer -- all made with love in our nearly 200-year-old building in the heart of Cajun Country.,"Roberto's River Road Restaurant offers fresh Cajun & Creole dishes in a nearly 200-year-old building in Sunshine, LA. They are open Tuesday - Friday: 11:00 AM - 2:00 PM, 5:00 PM - 9:00 PM and Saturday: 5:00 PM - 9:00 PM. They are closed on Mondays and Sundays.",,,12/31/2050,Active,Silver,Restaurants->Cajun/Creole,Restaurants->Seafood,Nightlife->Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Blue Corn Tequila & Tacos,Blue Corn Tequila & Tacos Baton Rouge,admin@bluecornrestaurant.com,https://bluecornrestaurant.com/,7673 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,(225) 300-4601,"A different kind of Mexican Restaurant serving the Baton Rouge LA area, a modern industrial concept with a traditional respect for the food using the same process from back home with fresh ingredients to create an experience you will enjoy.","A different kind of Mexican Restaurant serving the Baton Rouge LA area, a modern industrial concept with a traditional respect for the food using the same process from back home with fresh ingredients to create an experience you will enjoy.

Awonderful interpretation of Traditional Mexican Dishes with fresh ingredients. We stay true to the process to provide classics from our homeland. A beautifully designed bar stocked with a wide variety of tequila, mescal, and assorted fruit for handcrafted cocktails.

Acontemporary design with Industrial lighting and an outside patio make this a great place to enjoy food and drinks with friends and family. The walls as well as the menu have art inspired by El Dia de Los Muertos.",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Mexican,Restaurants->Tex-Mex,,,New Listing Template,,,,,,,,,,,,,,,,
BRQ Seafood and Barbeque,BRQ Seafood and Barbeque Baton Rouge,info@brqrestaurant.com,https://www.brqrestaurant.com/,10423 Jefferson Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 372-2674,"BRQ Seafood & Barbeque is a restaurant in Baton Rouge offering BBQ, seafood, and catering services.","BRQ Seafood & Barbeque offers menus for Main, Lunch, Brunch, Easter Brunch, Weekly Specials, Kids, and Lenten Specials. They also have Bar and Catering services along with options for Revelry Tailgating, Tailgating Packages, Weddings/Bacon & Fig Events, and Value Packs. Reservations can be made for the restaurant, Event Rental, and Private Dining Experience. The restaurant also offers gift cards and newsletter.",,,12/31/2050,Active,Silver,Restaurants->Barbeque,Restaurants->Seafood,Nightlife->Beer Gardens,,,New Listing Template,,,,,,,,,,,,,,,,
Phil Brady's Bar & Grill,Phil Brady's Bar & Grill Baton Rouge,,https://phil-bradys-bar-grill.wheree.com/,4848 Government St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 927-3786,"Phil Brady's Bar & Grill is a dive bar in East Baton Rouge Parish, Louisiana, known for live music, pool tables, and homemade burgers on Mondays.","Welcome to Phil Brady's Bar & Grill, a hidden gem in the heart of Baton Rouge that captivates with its warm, inviting atmosphere and vibrant local music scene. Esteemed for its reliable live entertainment, this beloved neighborhood spot boasts an array of talented musicians gracing the stage, making each visit a unique auditory experience. Guests can unwind with a cold beer while enjoying friendly service from attentive bartenders, transforming any night into a memorable outing. The bar is noted for its homemade burgers, served exclusively on Monday nights, earning accolades as the best burger in town. With pool tables and a lively dive ambiance, Phil Brady's is perfect for both casual gatherings and special events. This smoke-free venue thrives on community spirit and showcases a rotating lineup of local artists, ensuring entertainment is always at the forefront. Experience the heart and soul of Baton Rouge at Phil Brady's Bar & Grill, where every night feels like a celebration.",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->American,,,,New Listing Template,,,,,,,,,,,,,,,,
Duvic's,Duvic's Baton Rouge,contact@duvicsbar.com,https://duvicsbar.com/,2854 Kalurah St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 336-4821,"Duvic's is located at 2854 Kalurah St. Baton Rouge, LA 70808. They can be contacted by phone at +1 (225) 336-4821 or by email at contact@duvicsbar.com.","There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. Duvic's offers drinks such as Signature Martinis, Cocktails and Beer. Food options include Lunch, Dinner, Desert and Sunday Brunch.",,,12/31/2050,Active,Silver,Nightlife->Bars->Dive Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Zee Zee's,Zee Zee's Baton Rouge,zeezeesbar@gmail.com,https://www.zeezeesbr.com/,2943 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 256-5600,Bar & Grill in LA,"Zee Zees is a bar and grill located at 2943 Perkins Road, Baton Rouge, LA 70808. They are closed on Mondays. Tuesday - Thursday: 4:00 pm - 2:00 am, Friday - Saturday: 11:00 am - 2:00 am, Sunday: 11:00 am - 12:00 am.",,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars->Cocktail Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Tallulah Crafted Food & Wine Bar,Tallulah Crafted Food & Wine Bar Baton Rouge,Tallulah@renaissancebatonrouge.com,https://tallulahrestaurant.com/,7000 Bluebonnet Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,(225) 388-5710,"Tallulah is a casual upscale restaurant that serves breakfast, lunch, and dinner. It includes a wine bar and a large outdoor terrace, offering guests a selection of fine wines, specialty cocktails, and local brews. Live music is available on Wednesday, Thursday, and Friday nights during happy hour.","Tallulah presents a reimagining with fresh new menus in a familiar, yet captivating environment. The restaurant serves breakfast, lunch and dinner and includes a wine bar & refreshed, large outdoor terrace, offering guests the perfect location to enjoy an extensive selection of fine wines by the glass, specialty cocktails and local brews on tap. Live music is back on Wednesday, Thursday & Friday nights along with exciting happy hour offerings.",,,12/31/2050,Active,Silver,Restaurants->Southern,Nightlife->Bars->Cocktail Bars,Restaurants->Breakfast & Brunch,,,New Listing Template,,,,,,,,,,,,,,,,
The Lighthouse Bar & Pizzeria,The Lighthouse Bar & Pizzeria Baton Rouge,,https://www.instagram.com/the_lighthousebar/,8416 Scotland Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70807,,,(225) 400-9828,The Light House Bar & Pizzeria,,,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Pizza,Restaurants->Salad,,,New Listing Template,,,,,,,,,,,,,,,,
King Bar & Bistro,King Bar & Bistro Baton Rouge,,https://www.kingbarandbistro.com/,200 Convention St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 343-1515,King Bar & Bistro is located inside the historic Hotel Indigo Baton Rouge Downtown.,Located inside the historic Hotel Indigo Baton Rouge Downtown. N/A,,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Breakfast & Brunch,,,,New Listing Template,,,,,,,,,,,,,,,,
Rockstar Singing Telegrams,Rockstar Singing Telegrams Baton Rouge,jeff@rockstarsingingtelegrams.com,https://www.rockstarsingingtelegrams.com/,,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(866) 979-7625,Rockstar Singing Telegrams is proven to make birthdays and special events ROCK!,"We know this is a âonce in a lifetimeâ experience for them, thatâs why we provide the best performers and deliver a show they will never forget. You get a seasoned pro musician who was born to deliver an unforgettable performance. Includes a rose or chocolate and a balloon!",,,12/31/2050,Active,Silver,Nightlife->Karaoke,,,,,New Listing Template,,,,,,,,,,,,,,,,
Chow Yum,Chow Yum Baton Rouge,michael@chowyumbr.com,https://www.chowyumbr.com/,2363 Hollydale Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 726-7335,"Chow Yum is an Asian Fusion restaurant in Baton Rouge, LA, offering down-to-earth street food.","Chow Yum aims to embody the spirit of street food, which is a way of life for billions of people around the world. It's a means of livelihood, sustenance, socialization, and economic contribution. Street food transcends social classes and is a fundamental part of a culture's culinary heritage, with recipes passed down through generations and meant to be enjoyed by all. Chow Yum stands for this inclusive and accessible food experience.",,,12/31/2050,Active,Silver,Restaurants->Asian Fusion,Restaurants->Japanese->Ramen,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
The Parlor,The Parlor Baton Rouge,,https://www.yelp.com/biz/the-parlor-baton-rouge,705 Saint Joseph St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(615) 293-8190,"Hair salon offering haircuts in Baton Rouge, LA.","The Parlor is a hair salon located at 11616 Southfork Ave, Ste 300, Baton Rouge, LA 70816. It offers services such as haircuts. The salon is open Tuesday through Friday and closed on Sundays and Saturdays. They are By Appointment Only, Wheelchair accessible and Accepts Credit Cards and Android Pay.",,,12/31/2050,Active,Silver,Home Services->Real Estate->Shared Office Spaces,Arts & Entertainment->Music Venues,,,,New Listing Template,,,,,,,,,,,,,,,,
Nooley's,Nooley's Prairieville,nooleyspville@gmail.com,https://nooleys.com/,17134 LA-44,,United States,US,,,Louisiana,LA,Prairieville,,,,70769,,,(225) 622-2244,"Nooley's Poboys, Wings, and Curly Cues. Restaurant in Prairieville.","Nooley's Poboys, Wings & Curley Cues Your home for great sandwiches, and awesome wings! We do catering too!

Follow us on Instagram and Twitter @eatnooleys",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,Restaurants->Chicken Wings,Restaurants->American,,,New Listing Template,,,,,,,,,,,,,,,,
Kenny’s Cue Club & Tavern,Kenny’s Cue Club & Tavern Baton Rouge,,,10627 Alco Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 292-9162,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Spanky's Daiquiris,Spanky's Daiquiris Prairieville,,http://www.spankysdaiquiris.com,17316 Airline Hwy,,United States,US,,,Louisiana,LA,Prairieville,,,,70769,,,(225) 744-3527,Spanky's Daiquiris Prairieville: The best Daiquiris on the planet!,Founded in 1988 in Baton Rouge. Prairieville location was opened in the fall of 2002. Spanky's has thrived on providing smooth rich and powerful daiquiris,,,12/31/2050,Active,Silver,Nightlife->Bars->Pubs,,,,,New Listing Template,,,,,,,,,,,,,,,,
City Cafe,City Cafe Baton Rouge,citycafe113@bellsouth.net,https://citycafebr.net/,4710 O'Neal Ln,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70817,,,(225) 753-4420,"City Cafe is a family restaurant in Baton Rouge, LA, serving classic American comfort food in a cozy and friendly atmosphere since 2002. The restaurant has a long history dating back to 1919, with original family recipes.","City Cafe has been providing good food and good service at modest prices since being established by Martin Miranda in 1919. In 1933, Martinâs brother Jimmy Miranda, wife Marie, and sister-in-law Louise began management of the restaurant, which continued for the following 43 years.

Located on Main Street in Plaquemine, next to the railroad depot where men waited for the next train, City Cafe has seen its share of history. As the men waited on their way to World War II and the Korean War, many meals were provided by Jimmy at no cost to the soldiers. In the 1930's and 1940's, City Cafe was more than a place to get good food. The downtown area of Plaquemine was a hotbed of activity. Slot machines, horse races, and poker tables provided entertainment for the patrons after a good meal.

In 1976, Jimmy and Marine sold the restaurant and it was ""out of the family"" for four years. Charles ""Squeaky"" Miranda, Jimmy and Marine's son was a Plaquemine student-athlete who went on to become a teacher and coach. While coaching at Broadmoor High School, he met Stephanie Bourgeois, a teacher at the school, and they were married. It was in 1980 that Charles decided to go back to his roots and buy back the restaurant.

His mother Marie and Aunt Louise came back to the Cafe when Charles re-opened it in 1981 after an extensive remodeling. The restaurant again became a mainstay for the locals, as well as the nearby plant workers, for breakfast, lunch, and dinner. In 1994, a fire left the restaurant in disarray, but a menu from the ""golden age"" survived. Sandwiches 25 cents, hamburger steak 60 cents, breakfast (two eggs and a homemade biscuit) 30 cents, beer 19 cents. After rebuilding, Charles, mother Marie, and Aunt Louise continued on until the Plaquemine restaurant was sold in 1998.

GRAND Re-Opening in Baton Rouge!
Charles decided to re-open City Cafe in Baton Rouge in 2002. Today, the tradition of modest prices, friendly service, and good food continues. Some of the dishes date back to the original family recipes of 1919.

We hope you enjoy the family atmosphere and tradition of City Cafe - the place ""Where Good Friends Meet.""",,,12/31/2050,Active,Silver,Restaurants->Seafood,Nightlife->Bars,Restaurants->American,,,New Listing Template,,,,,,,,,,,,,,,,
Cypress Coast Brewing,Cypress Coast Brewing Baton Rouge,,https://www.instagram.com/cypresscoastbrewing/,5643 Government St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 317-0881,"Craft brewery in Monterey, CA. Tasting Room is open 7 days a week!",,,,12/31/2050,Active,Silver,Food->Breweries,Nightlife->Bars->Beer Bar,Nightlife->Beer Gardens,,,New Listing Template,,,,,,,,,,,,,,,,
River Rouge Kitchen & Bar,River Rouge Kitchen & Bar Baton Rouge,,,5500 Hilton Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 615-3870,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Wine Bars,Restaurants->Seafood,,,,New Listing Template,,,,,,,,,,,,,,,,
Fat Tuesday,Fat Tuesday Baton Rouge,,https://www.malloflouisiana.com/en/directory/11653/,6401 Bluebonnet Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,,Fat Tuesday units generally have fun food items to complement the featured frozen specialty drinks.,"The Fat Tuesday concept has grown into an international phenomenon with over 20 retail units throughout the United States, Mexico, Puerto Rico and Honduras in cities such as Miami, Key West, Las Vegas, Cozumel, San Juan and Roatan.",,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Pink Agave,Pink Agave Baton Rouge,pinkagavebatonrouge@gmail.com,https://www.pinkagavetaqueria.com,4001 Nicholson Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 256-3937,Contact form for customers to send messages.,"The page provides a contact form for customers to reach out. It also lists the locations with addresses, phone numbers, and email addresses for Ponchatoula, Covington, Amite, and Baton Rouge.",,,12/31/2050,Active,Silver,Restaurants->Mexican,Nightlife->Bars->Cocktail Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
TAP 65,TAP 65 Baton Rouge,info@tap65.com,https://www.tap65.com/,515 Mouton St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,,"TAP 65 brings 65 rotating beers, wines, and bourbons to the heart of Government Street. Located in the old White Star Market building, Tap 65 reimagines classic Indian cuisine and pairs it with the perfect beverages. Featuring a self-pour tap wall and a full bar dedicated to craft cocktails, memories are bound to be made.","The newest craft expansion from Rick and Needhi Patel, Tap 65 brings 65 rotating beers, wines, and bourbons to the heart of Government Street. Located in the old White Star Market building, Tap 65 reimagines classic Indian cuisine and pairs it with the perfect beverages. Featuring a self-pour tap wall and a full bar dedicated to craft cocktails, memories are bound to be made.",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Indian,Event Planning & Services->Venues & Event Spaces,,,New Listing Template,,,,,,,,,,,,,,,,
